participant_id,treat,age_months,female,kindergarten,teacher_id,school_id,private_school,title1,free_reduced_lunch,state,esl_observed,special_ed_observed,new_student,distracted_a1,distracted_a2,distracted_ppvt,score_a1,invalid_a1,score_a2,invalid_a2,score_ppvt,score_ppvt_age,invalid_ppvt,t_logins_april,t_logins_total,t_weeks_used,t_words_learned,t_financial_struggle,t_misbehavior,t_years_experience,score_pct_change
100,0,81,1,1,45,1,0,1,75,1,0,0,0,0,0,0,27,NA,28,0,128,116,0,NA,NA,NA,NA,20,1,43,3.7037037037037033
101,0,76,1,1,45,1,0,1,75,1,0,0,0,0,NA,NA,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,0,77,1,1,45,1,0,1,75,1,0,0,0,0,NA,NA,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,0,68,1,1,45,1,0,1,75,1,0,0,0,0,0,0,24,NA,25,0,93,102,0,NA,NA,NA,NA,20,1,43,4.166666666666666
104,0,75,1,1,45,1,0,1,75,1,0,0,0,0,0,0,25,NA,27,0,NA,NA,1,NA,NA,NA,NA,20,1,43,8
105,0,76,0,1,45,1,0,1,75,1,0,0,0,0,0,0,18,NA,21,0,89,89,0,NA,NA,NA,NA,20,1,43,16.666666666666664
106,0,76,1,1,45,1,0,1,75,1,0,0,0,1,0,0,21,NA,17,0,54,71,0,NA,NA,NA,NA,20,1,43,-19.047619047619047
107,0,76,1,1,45,1,0,1,75,1,0,0,0,0,0,0,28,NA,26,0,123,117,0,NA,NA,NA,NA,20,1,43,-7.142857142857142
108,0,75,1,1,45,1,0,1,75,1,0,0,0,0,0,0,21,NA,24,0,88,90,0,NA,NA,NA,NA,20,1,43,14.285714285714285
109,0,73,0,1,45,1,0,1,75,1,0,0,0,0,0,0,23,NA,26,0,NA,NA,1,NA,NA,NA,NA,20,1,43,13.043478260869565
110,0,76,1,1,45,1,0,1,75,1,0,0,0,0,0,0,25,NA,25,0,106,103,0,NA,NA,NA,NA,20,1,43,0
111,0,74,0,1,45,1,0,1,75,1,0,0,0,0,0,0,24,NA,23,0,85,89,0,NA,NA,NA,NA,20,1,43,-4.166666666666666
113,0,76,1,1,45,1,0,1,75,1,0,0,0,0,0,0,23,NA,26,0,84,87,0,NA,NA,NA,NA,20,1,43,13.043478260869565
114,0,71,0,1,45,1,0,1,75,1,0,0,0,0,0,0,28,NA,28,0,123,123,0,NA,NA,NA,NA,20,1,43,0
115,0,80,0,1,45,1,0,1,75,1,0,0,0,0,NA,NA,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,0,75,1,1,45,1,0,1,75,1,0,0,0,0,NA,NA,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,0,69,0,1,45,1,0,1,75,1,0,0,0,0,NA,NA,24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,0,73,0,1,45,1,0,1,75,1,0,0,0,0,NA,NA,29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,0,81,0,1,45,1,0,1,75,1,0,0,0,0,NA,NA,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10148,1,65,1,0,28,2,0,1,91,3,0,0,0,0,0,1,34,NA,31,0,138,137,0,23,156,35,5,10,1,27,-8.823529411764707
16144,1,58,0,0,28,2,0,1,91,3,0,0,0,0,0,0,21,NA,24,0,87,108,0,23,156,35,5,10,1,27,14.285714285714285
17009,1,69,1,0,28,2,0,1,91,3,0,0,0,0,0,0,28,NA,33,0,113,115,0,23,156,35,5,10,1,27,17.857142857142858
18848,1,67,0,0,28,2,0,1,91,3,0,0,0,0,0,0,30,NA,32,0,109,115,0,23,156,35,5,10,1,27,6.666666666666667
25961,1,65,1,0,28,2,0,1,91,3,0,0,0,0,0,0,16,NA,18,0,55,80,0,23,156,35,5,10,1,27,12.5
26448,1,60,0,0,28,2,0,1,91,3,0,1,0,0,NA,NA,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27480,1,68,0,0,28,2,0,1,91,3,0,1,0,0,0,1,13,NA,16,0,39,65,0,23,156,35,5,10,1,27,23.076923076923077
33415,1,64,0,0,28,2,0,1,91,3,0,0,0,0,0,0,21,NA,26,0,83,99,0,23,156,35,5,10,1,27,23.809523809523807
34684,1,68,0,0,28,2,0,1,91,3,0,1,0,1,1,1,31,NA,24,0,91,100,0,23,156,35,5,10,1,27,-22.58064516129032
39545,1,65,0,0,28,2,0,1,91,3,1,0,0,0,0,0,20,NA,21,0,49,76,0,23,156,35,5,10,1,27,5
53788,1,69,1,0,28,2,0,1,91,3,0,0,0,0,NA,NA,22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59841,1,70,1,0,28,2,0,1,91,3,0,1,0,0,NA,NA,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71745,1,68,1,0,28,2,0,1,91,3,0,0,0,0,NA,NA,22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75843,1,69,0,0,28,2,0,1,91,3,0,0,0,0,NA,NA,26,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87105,1,54,0,0,28,2,0,1,91,3,0,1,0,3,NA,NA,15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92584,1,61,0,0,28,2,0,1,91,3,0,0,0,0,0,0,20,NA,25,0,76,98,0,23,156,35,5,10,1,27,25
93636,1,65,1,0,28,2,0,1,91,3,0,0,0,0,0,0,16,NA,26,0,76,93,0,23,156,35,5,10,1,27,62.5
96790,1,57,0,0,28,2,0,1,91,3,0,0,0,0,0,0,20,NA,26,0,56,86,0,23,156,35,5,10,1,27,30
96957,1,61,0,0,28,2,0,1,91,3,0,0,0,0,NA,NA,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
320,1,58,0,0,35,3,0,0,45,2,0,0,0,1,0,2,21,NA,25,0,58,86,0,38,196,22,2,63,3,37,19.047619047619047
12039,1,62,0,0,35,3,0,0,45,2,0,1,0,3,3,3,18,NA,16,0,51,78,0,38,196,22,2,63,3,37,-11.11111111111111
16198,1,41,0,0,35,3,0,0,45,2,0,1,0,3,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20056,1,68,0,0,35,3,0,0,45,2,0,0,0,0,0,1,33,NA,35,0,134,132,0,38,196,22,2,63,3,37,6.0606060606060606
26079,1,55,1,0,35,3,0,0,45,2,0,0,0,2,0,0,17,NA,17,0,54,87,0,38,196,22,2,63,3,37,0
26194,1,58,1,0,35,3,0,0,45,2,0,0,0,0,0,0,19,NA,25,0,114,128,0,38,196,22,2,63,3,37,31.57894736842105
29507,1,50,0,0,35,3,0,0,45,2,0,1,0,3,NA,NA,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29813,1,63,0,0,35,3,0,0,45,2,1,0,0,0,0,0,27,NA,24,0,102,112,0,38,196,22,2,63,3,37,-11.11111111111111
30395,1,64,0,0,35,3,0,0,45,2,0,0,0,0,3,2,26,NA,21,0,68,88,0,38,196,22,2,63,3,37,-19.230769230769234
35936,1,67,1,0,35,3,0,0,45,2,0,0,0,0,0,0,27,NA,28,0,77,92,0,38,196,22,2,63,3,37,3.7037037037037033
38478,1,50,0,0,35,3,0,0,45,2,0,1,0,3,NA,NA,14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44996,1,49,0,0,35,3,0,0,45,2,0,0,0,0,NA,NA,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74716,1,63,1,0,35,3,0,0,45,2,0,0,0,0,0,0,31,NA,30,0,105,114,0,38,196,22,2,63,3,37,-3.225806451612903
74926,1,67,0,0,35,3,0,0,45,2,0,1,0,2,NA,NA,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79498,1,46,1,0,35,3,0,0,45,2,0,0,0,0,0,0,13,NA,20,0,75,114,0,38,196,22,2,63,3,37,53.84615384615385
81521,1,66,0,0,35,3,0,0,45,2,0,0,0,0,0,0,11,NA,19,0,55,78,0,38,196,22,2,63,3,37,72.72727272727273
87192,1,49,0,0,35,3,0,0,45,2,1,0,0,0,0,0,13,NA,19,0,38,78,0,38,196,22,2,63,3,37,46.15384615384615
90875,1,68,0,0,35,3,0,0,45,2,0,0,0,0,0,2,30,NA,32,0,116,118,0,38,196,22,2,63,3,37,6.666666666666667
97134,1,67,0,0,35,3,0,0,45,2,0,0,0,0,NA,NA,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10554,1,59,1,0,23,4,1,0,0,2,0,0,0,0,0,0,24,NA,28,0,98,116,0,29,150,22,3,6,3,30,16.666666666666664
11066,1,69,0,0,23,4,1,0,0,2,0,0,0,0,1,1,23,NA,26,0,96,102,0,29,150,22,3,6,3,30,13.043478260869565
14682,1,61,0,0,23,4,1,0,0,2,0,0,0,0,0,1,28,NA,31,0,109,122,0,29,150,22,3,6,3,30,10.714285714285714
21507,1,62,1,0,23,4,1,0,0,2,0,0,0,0,0,0,28,NA,28,0,112,121,0,29,150,22,3,6,3,30,0
29324,1,67,1,0,23,4,1,0,0,2,0,0,0,0,0,0,29,NA,28,0,113,115,0,29,150,22,3,6,3,30,-3.4482758620689653
32012,1,64,1,0,23,4,1,0,0,2,0,0,0,0,0,0,25,NA,28,0,103,113,0,29,150,22,3,6,3,30,12
34697,1,65,1,0,23,4,1,0,0,2,0,0,0,0,0,0,20,NA,28,0,107,115,0,29,150,22,3,6,3,30,40
41016,1,59,1,0,23,4,1,0,0,2,0,0,0,0,0,0,23,NA,31,0,80,101,0,29,150,22,3,6,3,30,34.78260869565217
42810,1,64,0,0,23,4,1,0,0,2,0,0,0,0,NA,NA,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46118,1,65,0,0,23,4,1,0,0,2,0,0,0,0,0,1,22,NA,22,0,101,109,0,29,150,22,3,6,3,30,0
55042,1,68,0,0,23,4,1,0,0,2,0,0,0,0,1,1,28,NA,25,0,105,110,0,29,150,22,3,6,3,30,-10.714285714285714
56124,1,63,1,0,23,4,1,0,0,2,0,0,0,0,0,0,26,NA,24,0,91,104,0,29,150,22,3,6,3,30,-7.6923076923076925
