artist,country,birth,death,alive,genx,gender,count,year_acquired_min,year_acquired_max
Ad Gerritsen,dutch,1940,2015,FALSE,FALSE,male,1,1981,1981
Kirstine Roepstorff,danish,1972,NA,TRUE,TRUE,female,3,2005,2005
Lisa Baumgardner,american,1958,2015,FALSE,FALSE,female,2,2016,2016
David Bates,american,1952,NA,TRUE,FALSE,male,1,2001,2001
Simon Levy,american,1946,NA,TRUE,FALSE,male,1,2012,2012
Pierre Mercure,canadian,1927,1966,FALSE,FALSE,male,8,2008,2008
Ko Verzuu,dutch,1901,1971,FALSE,FALSE,male,2,2018,2018
Shigeyoshi Morioka,japanese,1941,NA,TRUE,FALSE,male,1,1981,1981
William Ross Abrams,american,1920,2007,FALSE,FALSE,male,1,1949,1949
Emily Roysdon,american,1977,NA,TRUE,TRUE,female,5,2013,2013
David O. Russell,american,1958,NA,TRUE,FALSE,male,1,2002,2002
David Zink Yi,peruvian,1973,NA,TRUE,TRUE,male,2,2017,2017
Peter Purves-Smith,australian,1913,1949,FALSE,FALSE,male,1,1941,1941
Wolfgang von Wersin,german,1882,1976,FALSE,FALSE,male,1,1956,1956
Peter Schlumbohm,american,1896,1962,FALSE,FALSE,male,21,1943,2001
Robert Cremean,american,1932,NA,TRUE,FALSE,male,16,1974,1974
Michael Vivo,american,1947,1984,FALSE,FALSE,male,1,1978,1978
Viktor Pal'mov,,1888,1929,FALSE,FALSE,male,1,2001,2001
Caroline Durieux,american,1896,1989,FALSE,FALSE,female,4,1942,1969
Heike Baranowsky,german,1967,NA,TRUE,TRUE,female,1,2004,2004
Fernando Vilela,brazilian,1973,NA,TRUE,TRUE,male,2,2013,2013
Roy Colmer,british,1935,2014,FALSE,FALSE,male,4,1986,1987
TorbjÃ¸rn RÃ¸dland,norwegian,1970,NA,TRUE,TRUE,male,3,2018,2018
Vincent van Gogh,dutch,1853,1890,FALSE,FALSE,male,6,1940,1998
Andrew Foster Bush,american,1956,NA,TRUE,FALSE,male,1,1983,1983
Hermelindo Fiaminghi,brazilian,1920,2004,FALSE,FALSE,male,2,2016,2016
Tony Fitzpatrick,american,1958,NA,TRUE,FALSE,male,2,1993,2005
Sally Mann,american,1951,NA,TRUE,FALSE,female,1,1987,1987
Sadie Benning,american,1973,NA,TRUE,TRUE,non-binary,10,2000,2017
Anna Boghiguian,egyptian,1946,NA,TRUE,FALSE,female,12,2016,2016
Heinrich Nauen,german,1880,1941,FALSE,FALSE,male,3,1940,1942
Mary E. Frey,american,1948,NA,TRUE,FALSE,female,9,1985,1993
David Bradshaw,american,1944,NA,TRUE,FALSE,male,1,2014,2014
Jun Dobashi,japanese,1910,1975,FALSE,FALSE,male,1,1964,1964
Louis De Clercq,french,1836,1901,FALSE,FALSE,male,3,1985,2009
Nicholas Dean,american,1933,NA,TRUE,FALSE,male,1,1997,1997
Cecil Stephenson,british,1889,1965,FALSE,FALSE,male,1,1985,1985
Charles B. Kaufmann,american,1890,1957,FALSE,FALSE,male,1,1995,1995
Yinka Shonibare,british,1962,NA,TRUE,FALSE,male,8,2002,2018
Jacques Villon,french,1875,1963,FALSE,FALSE,male,253,1935,1995
Arthur Young,american,1905,1995,FALSE,FALSE,male,1,1984,1984
Lew Thomas,american,1932,NA,TRUE,FALSE,male,5,1978,2014
Paul Wonner,american,1920,2008,FALSE,FALSE,male,1,1980,1980
Doug Dubois,american,1960,NA,TRUE,FALSE,male,4,1987,1989
Max Almy,american,1948,NA,TRUE,FALSE,female,1,1984,1984
Barbel Scianghetti,american,1939,NA,TRUE,FALSE,female,1,1991,1991
Jim Gaylord,american,1974,NA,TRUE,TRUE,male,1,2008,2008
Pierre Ayot,canadian,1943,1995,FALSE,FALSE,male,1,1967,1967
Mario Prassinos,french,1916,1985,FALSE,FALSE,male,53,1948,1965
