mintemp,maxtemp,rainfall,windgustdir,windgustspeed,winddir9am,winddir3pm,windspeed9am,windspeed3pm,humidity9am,humidity3pm,pressure9am,pressure3pm,temp9am,temp3pm,raintoday,risk_mm,raintomorrow,year,month,day_of_year
19.6,32.3,0,E,31,E,SW,7,15,55,44,1009.8,1007.1,25.3,30,No,0,No,2014,2,45
18.4,34.7,0,ENE,37,E,SE,17,15,43,16,1010.9,1006.5,24.6,33.7,No,0,No,2011,1,11
11.7,19.8,0.6,WNW,48,WNW,WNW,15,15,62,85,1013.8,1012.1,17.4,16.5,No,3.4,Yes,2013,9,261
13,24.9,0,SW,44,S,SSW,9,24,53,46,1019.3,1015.5,19.7,22.8,No,0,No,2014,12,347
17.8,28.5,0,SSW,39,S,SW,15,20,65,51,1012.8,1010.8,24.2,26.8,No,0,No,2011,12,357
9.7,21.6,2.2,SW,24,NE,W,7,11,84,59,1024.7,1022.4,15.4,20.3,Yes,0,No,2014,9,254
17.9,31,0,SSW,30,E,WSW,7,13,48,43,1007.6,1005.6,25.3,28.1,No,0,No,2013,12,364
9.7,27.4,0,SW,33,ENE,SW,9,17,51,34,1021.7,1018.1,21,25.8,No,0,No,2015,10,293
11.2,17.9,9,WNW,52,W,W,19,20,47,47,1008.1,1008.9,16.7,17.5,Yes,5,Yes,2019,10,304
12.9,19.6,13.6,W,31,NNE,W,9,15,90,57,1016,1015.4,15.1,18.1,Yes,4.8,Yes,2009,8,231
11.1,29.6,0,SSE,30,ESE,WSW,11,17,53,42,1018.3,1013.6,21.6,27.4,No,0,No,2009,11,313
1.6,19.3,0,ENE,20,NE,SE,4,4,87,46,1032.1,1029.2,9.7,18,No,0,No,2012,7,208
9,17.6,2.6,SSW,26,SE,S,9,9,83,55,1021.3,1020.4,13.1,16.7,Yes,0,No,2010,8,226
7.1,16.3,14.8,SW,35,NNE,S,2,15,96,56,1023.2,1024.7,10.5,15.7,Yes,1,No,2014,6,173
9.5,18.7,1.2,SSW,41,SSE,SW,7,20,81,54,1014,1013.3,14.7,16.8,Yes,0.2,No,2008,8,242
